PIC_RowNumber,Cst_Cnt,N_Cruise,N_Ship,N_OrderOcc,N_Towtype,N_Townumber,N_lat,N_lon,N_Line,N_Station
281,5780.0,195305,HO,41.0,C1,1.0,33.971666,-119.916666,83.3,48.0
282,5781.0,195305,HO,42.0,C1,1.0,33.866666,-120.15,83.3,51.0
283,5785.0,195305,HO,46.0,C1,1.0,32.913333,-122.183333,83.3,80.0
284,5791.0,195305,HO,52.0,C1,1.0,33.013333,-119.991666,86.7,55.0
285,5790.0,195305,HO,51.0,C1,1.0,32.931666,-120.398333,86.7,60.0
286,5792.0,195305,HO,53.0,C1,1.0,33.353333,-119.625,86.7,50.0
287,5843.0,195305,PT,66.0,C1,1.0,33.58,-119.84,85.0,50.0
288,5848.0,195305,PT,70.0,C1,1.0,33.941666,-119.17,85.0,40.0
289,5853.0,195305,PT,75.0,C1,1.0,33.03,-120.3,86.7,60.0
290,5854.0,195305,PT,76.0,C1,1.0,33.208333,-119.925,86.7,55.0
291,6022.0,195306,YE,2.0,C1,1.0,33.408333,-117.916666,90.0,30.0
292,6023.0,195306,YE,3.0,C1,1.0,33.183333,-118.391666,90.0,37.0
293,6026.0,195306,YE,7.0,C1,1.0,32.416666,-119.95,90.0,60.0
294,,195306,YE,8.0,C1,1.0,32.216666,-120.375,90.0,65.0
295,,195306,YE,14.0,C1,1.0,32.875,-120.6,86.7,65.0
296,6034.0,195306,YE,15.0,C1,1.0,33.006666,-120.351666,86.7,60.0
297,5906.0,195306,CR,9.0,C1,1.0,34.325,-120.8,80.0,55.0
298,5987.0,195306,PT,1.0,C1,1.0,32.928333,-117.345,93.3,27.0
299,5907.0,195306,CR,10.0,C1,1.0,34.15,-121.15,80.0,60.0
300,,195306,CR,11.0,C1,1.0,33.983333,-121.5,80.0,65.0
301,6048.0,195306,YE,28.0,C1,1.0,33.235,-121.433333,83.3,70.0
302,,,,,,,,,,
303,6041.0,195306,YE,25.0,C1,1.0,33.95,-119.175,85.0,40.0
304,5988.0,195306,PT,2.0,C1,1.0,32.82,-117.543333,93.3,30.0
305,,195306,PT,3.0,C1,1.0,32.608333,-117.941666,93.3,35.0
306,5991.0,195306,PT,8.0,C1,1.0,31.766666,-119.3,93.3,60.0
307,6054.0,195306,YE,36.0,C1,1.0,34.233333,-119.366666,83.3,40.0
