Seq_number,Sample Name,Jar,Sample Number,Sample Name,Jar,,Jar_improved,Barcode,New_name,Location,Year,ext_rep,tech_rep,Sample_Control,Control_Type,Date,Lat,Lon,Lat Lon,Volume
CO1_ETOHJAR.0062.S122.L002,Tech_rep_1_1104_93.3_30,1104_93.3_30,62,Tech_rep_1_1104_93.3_30,1104_93.3_30,,2011_4_93.3_30,CO62,CO1_2011_4_93.3_30_1_1,2011_4_93.3_30,2011,1,1,Sample,NA,4/10/11,32.848333,-117.528333,32.848333 N 117.528333 W,125
CO1_ETOHJAR.0063.S123.L002,Tech_rep_1_1104_93.3_60,1104_93.3_60,63,Tech_rep_1_1104_93.3_60,1104_93.3_60,,2011_4_93.3_60,CO63,CO1_2011_4_93.3_60_1_1,2011_4_93.3_60,2011,1,1,Sample,NA,4/11/11,31.851667,-119.578333,31.851667 N 119.578333 W,125
CO1_ETOHJAR.0064.S124.L002,Tech_rep_1_1203_80_60,1203_80_60,64,Tech_rep_1_1203_80_60,1203_80_60,,2012_4_80_60,CO64,CO1_2012_4_80_60_1_1,2012_4_80_60,2012,1,1,Sample,NA,4/6/12,34.151667,-121.148333,34.151667 N 121.148333 W,125
CO1_ETOHJAR.0065.S125.L002,Tech_rep_1_1203_86.7_50,1203_86.7_50,65,Tech_rep_1_1203_86.7_50,1203_86.7_50,,2012_3_86.7_50,CO65,CO1_2012_3_86.7_50_1_1,2012_3_86.7_50,2012,1,1,Sample,NA,3/31/12,33.321667,-119.665,33.321667 N 119.665 W,125
CO1_ETOHJAR.0066.S126.L002,Tech_rep_1_1203_93.3_30,1203_93.3_30,66,Tech_rep_1_1203_93.3_30,1203_93.3_30,,2012_3_93.3_30,CO66,CO1_2012_3_93.3_30_1_1,2012_3_93.3_30,2012,1,1,Sample,NA,3/25/12,32.843333,-117.533333,32.843333 N 117.533333 W,125
CO1_ETOHJAR.0067.S127.L002,Tech_rep_1_1203_93.3_60,1203_93.3_60,67,Tech_rep_1_1203_93.3_60,1203_93.3_60,,2012_3_93.3_60,CO67,CO1_2012_3_93.3_60_1_1,2012_3_93.3_60,2012,1,1,Sample,NA,3/26/12,31.845,-119.573333,31.845 N 119.573333 W,125
CO1_ETOHJAR.0068.S128.L002,Tech_rep_1_1304_80_60,1304_80_60,68,Tech_rep_1_1304_80_60,1304_80_60,,2013_4_80_60,CO68,CO1_2013_4_80_60_1_1,2013_4_80_60,2013,1,1,Sample,NA,4/20/13,34.15232,-121.16733,34.15232 N 121.16733 W,125
CO1_ETOHJAR.0069.S129.L002,Tech_rep_1_1304_86.7_50,1304_86.7_50,69,Tech_rep_1_1304_86.7_50,1304_86.7_50,,2013_4_86.7_50,CO69,CO1_2013_4_86.7_50_1_1,2013_4_86.7_50,2013,1,1,Sample,NA,4/15/13,33.3245,-119.66017,33.3245 N 119.66017 W,125
CO1_ETOHJAR.0070.S130.L002,Tech_rep_1_1304_93.3_30,1304_93.3_30,70,Tech_rep_1_1304_93.3_30,1304_93.3_30,,2013_4_93.3_30,CO70,CO1_2013_4_93.3_30_1_1,2013_4_93.3_30,2013,1,1,Sample,NA,4/7/13,32.8385,-117.533,32.8385 N 117.533 W,125
CO1_ETOHJAR.0071.S131.L002,Tech_rep_1_1304_93.3_60,1304_93.3_60,71,Tech_rep_1_1304_93.3_60,1304_93.3_60,,2013_4_93.3_60,CO71,CO1_2013_4_93.3_60_1_1,2013_4_93.3_60,2013,1,1,Sample,NA,4/11/13,31.8475,-119.5805,31.8475 N 119.5805 W,125
CO1_ETOHJAR.0072.S132.L002,Tech_rep_1_1404_80_60_J1,1404_80_60_J1,72,Tech_rep_1_1404_80_60_J1,1404_80_60_J1,,2014_4_80_60_J1,CO72,CO1_2014_4_80_60_1_1,2014_4_80_60,2014,1,1,Sample,NA,4/13/14,34.16203,-121.15758,34.16203 N 121.15758 W,125
CO1_ETOHJAR.0073.S133.L002,Tech_rep_1_1404_80_60_J2,1404_80_60_J2,73,Tech_rep_1_1404_80_60_J2,1404_80_60_J2,,2014_4_80_60_J2,CO73,CO1_2014_4_80_60_2_1,2014_4_80_60,2014,2,1,Sample,NA,4/13/14,34.16203,-121.15758,34.16203 N 121.15758 W,125
CO1_ETOHJAR.0074.S134.L002,Tech_rep_1_1404_93.3_30,1404_93.3_30,74,Tech_rep_1_1404_93.3_30,1404_93.3_30,,2014_4_93.3_30,CO74,CO1_2014_4_93.3_30_1_1,2014_4_93.3_30,2014,1,1,Sample,NA,4/2/14,32.84772,-117.53193,32.84772 N 117.53193 W,125
CO1_ETOHJAR.0075.S135.L002,Tech_rep_1_1404_93.3_60,1404_93.3_60,75,Tech_rep_1_1404_93.3_60,1404_93.3_60,,2014_4_93.3_60,CO75,CO1_2014_4_93.3_60_1_1,2014_4_93.3_60,2014,1,1,Sample,NA,4/3/14,31.84738,-119.56267,31.84738 N 119.56267 W,125
CO1_ETOHJAR.0076.S136.L002,Tech_rep_1_1504_80_60,1504_80_60,76,Tech_rep_1_1504_80_60,1504_80_60,,2015_4_80_60,CO76,CO1_2015_4_80_60_1_1,2015_4_80_60,2015,1,1,Sample,NA,4/16/15,34.15052,-121.14713,34.15052 N 121.14713 W,100
CO1_ETOHJAR.0077.S137.L002,Tech_rep_1_1504_86.7_50,1504_86.7_50,77,Tech_rep_1_1504_86.7_50,1504_86.7_50,,2015_4_86.7_50,CO77,CO1_2015_4_86.7_50_1_1,2015_4_86.7_50,2015,1,1,Sample,NA,4/11/15,33.32897,-119.6576,33.32897 N 119.6576 W,125
CO1_ETOHJAR.0078.S138.L002,Tech_rep_1_1504_93.3_30,1504_93.3_30,78,Tech_rep_1_1504_93.3_30,1504_93.3_30,,2015_4_93.3_30,CO78,CO1_2015_4_93.3_30_1_1,2015_4_93.3_30,2015,1,1,Sample,NA,4/5/15,32.84228,-117.53622,32.84228 N 117.53622 W,125
CO1_ETOHJAR.0079.S139.L002,Tech_rep_1_1504_93.3_60,1504_93.3_60,79,Tech_rep_1_1504_93.3_60,1504_93.3_60,,2015_4_93.3_60,CO79,CO1_2015_4_93.3_60_1_1,2015_4_93.3_60,2015,1,1,Sample,NA,4/6/15,31.84518,-119.56667,31.84518 N 119.56667 W,125
CO1_ETOHJAR.0080.S140.L002,Tech_rep_1_1604_86.7_50_J1,1604_86.7_50_J1,80,Tech_rep_1_1604_86.7_50_J1,1604_86.7_50_J1,,2016_4_86.7_50_J1,CO80,CO1_2016_4_86.7_50_1_1,2016_4_86.7_50,2016,1,1,Sample,NA,4/9/16,33.31567,-119.65623,33.31567 N 119.65623 W,125
CO1_ETOHJAR.0081.S141.L002,Tech_rep_1_1604_86.7_50_J2,1604_86.7_50_J2,81,Tech_rep_1_1604_86.7_50_J2,1604_86.7_50_J2,,2016_4_86.7_50_J2,CO81,CO1_2016_4_86.7_50_2_1,2016_4_86.7_50,2016,2,1,Sample,NA,4/9/16,33.31567,-119.65623,33.31567 N 119.65623 W,125
