cruise,ship,ship_code,order_occupied,tow_type,tow_number,net_location,time,latitude,longitude,line,station,standard_haul_factor,volume_sampled,proportion_sorted,scientific_name,common_name,itis_tsn,calcofi_species_code,larvae_count,larvae_10m2,larvae_100m3
,,,,,,,UTC,degrees_north,degrees_east,,,,meters^3,,,,,,,Larvae 10/M^2,Larvae 100/M^3
199602,DAVID STARR JORDAN,JD,13,CB,1,S,1996-02-02T02:44:00Z,30.515,-122.25667,93.3,100,5.06,418.1,1,Scopelarchus analis,Blackbelly pearleye,162555,339,1,5.06,NaN
199602,DAVID STARR JORDAN,JD,13,CB,1,S,1996-02-02T02:44:00Z,30.515,-122.25667,93.3,100,5.06,418.1,1,Symbolophorus californiensis,California lanternfish,623871,296,3,15.18,NaN
199602,DAVID STARR JORDAN,JD,13,CB,1,S,1996-02-02T02:44:00Z,30.515,-122.25667,93.3,100,5.06,418.1,1,Tetragonurus cuvieri,Smalleye squaretail,172580,546,1,5.06,NaN
199602,DAVID STARR JORDAN,JD,13,CB,1,S,1996-02-02T02:44:00Z,30.515,-122.25667,93.3,100,5.06,418.1,1,Vinciguerria lucetia,Panama lightfish,182865,93,3,15.18,NaN
199602,DAVID STARR JORDAN,JD,14,CB,1,S,1996-02-02T08:57:00Z,30.18,-122.92333,93.3,110,4.8,425.3,1,Ceratoscopelus townsendi,Dogtooth lampfish,162577,226,8,38.4,NaN
199602,DAVID STARR JORDAN,JD,14,CB,1,S,1996-02-02T08:57:00Z,30.18,-122.92333,93.3,110,4.8,425.3,1,Cyclothone acclinidens,Benttooth bristlemouth,162172,77,1,4.8,NaN
199602,DAVID STARR JORDAN,JD,14,CB,1,S,1996-02-02T08:57:00Z,30.18,-122.92333,93.3,110,4.8,425.3,1,Cyclothone signata,Showy bristlemouth,162168,78,13,62.4,NaN
199602,DAVID STARR JORDAN,JD,14,CB,1,S,1996-02-02T08:57:00Z,30.18,-122.92333,93.3,110,4.8,425.3,1,Danaphos oculatus,Bottlelight,162232,84,4,19.2,NaN
199602,DAVID STARR JORDAN,JD,14,CB,1,S,1996-02-02T08:57:00Z,30.18,-122.92333,93.3,110,4.8,425.3,1,Diogenichthys atlanticus,Longfin lanternfish,162676,239,1,4.8,NaN
199602,DAVID STARR JORDAN,JD,14,CB,1,S,1996-02-02T08:57:00Z,30.18,-122.92333,93.3,110,4.8,425.3,1,Electrona risso,Chubby flashlightfish,623732,243,1,4.8,NaN
199602,DAVID STARR JORDAN,JD,14,CB,1,S,1996-02-02T08:57:00Z,30.18,-122.92333,93.3,110,4.8,425.3,1,Hygophum reinhardtii,Slender lanternfish,623875,252,3,14.4,NaN
199602,DAVID STARR JORDAN,JD,14,CB,1,S,1996-02-02T08:57:00Z,30.18,-122.92333,93.3,110,4.8,425.3,1,Nannobrachium,,623699,261,1,4.8,NaN
199602,DAVID STARR JORDAN,JD,14,CB,1,S,1996-02-02T08:57:00Z,30.18,-122.92333,93.3,110,4.8,425.3,1,Nannobrachium hawaiiensis,,623853,269,1,4.8,NaN
199602,DAVID STARR JORDAN,JD,14,CB,1,S,1996-02-02T08:57:00Z,30.18,-122.92333,93.3,110,4.8,425.3,1,Nannobrachium ritteri,Broadfin lampfish,623745,260,1,4.8,NaN
199602,DAVID STARR JORDAN,JD,14,CB,1,S,1996-02-02T08:57:00Z,30.18,-122.92333,93.3,110,4.8,425.3,1,Notoscopelus resplendens,Patchwork lampfish,162654,283,1,4.8,NaN
199602,DAVID STARR JORDAN,JD,14,CB,1,S,1996-02-02T08:57:00Z,30.18,-122.92333,93.3,110,4.8,425.3,1,Protomyctophum crockeri,California flashlightfish,162685,288,1,4.8,NaN
199602,DAVID STARR JORDAN,JD,14,CB,1,S,1996-02-02T08:57:00Z,30.18,-122.92333,93.3,110,4.8,425.3,1,Sternoptyx,Dollar hatchetfishes,162226,107,1,4.8,NaN
199602,DAVID STARR JORDAN,JD,14,CB,1,S,1996-02-02T08:57:00Z,30.18,-122.92333,93.3,110,4.8,425.3,1,Stomias atriventer,Blackbelly dragonfish,162290,121,1,4.8,NaN
199602,DAVID STARR JORDAN,JD,14,CB,1,S,1996-02-02T08:57:00Z,30.18,-122.92333,93.3,110,4.8,425.3,1,Symbolophorus californiensis,California lanternfish,623871,296,2,9.6,NaN
199602,DAVID STARR JORDAN,JD,14,CB,1,S,1996-02-02T08:57:00Z,30.18,-122.92333,93.3,110,4.8,425.3,1,Vinciguerria lucetia,Panama lightfish,182865,93,11,52.8,NaN
199602,DAVID STARR JORDAN,JD,14,MT,1,,1996-02-02T08:38:00Z,30.18,-122.92333,93.3,110,0.02,75.6,1,Stomias atriventer,Blackbelly dragonfish,162290,121,1,NaN,1.3227513
199602,DAVID STARR JORDAN,JD,15,MT,1,,1996-02-02T16:22:00Z,29.846666,-123.58666,93.3,120,0.02,84.2,1,Aristostomias scintillans,Shiny loosejaw,162274,151,2,NaN,2.3752968
199602,DAVID STARR JORDAN,JD,15,MT,1,,1996-02-02T16:22:00Z,29.846666,-123.58666,93.3,120,0.02,84.2,1,Teleostei,Unidentified Teliost,161105,1,1,NaN,1.1876484
199602,DAVID STARR JORDAN,JD,16,CB,1,S,1996-02-03T02:47:00Z,30.416666,-123.996666,90,120,5,419.8,1,Argyropelecus sladeni,Lowcrest hatchetfish,162221,105,1,5,NaN
199602,DAVID STARR JORDAN,JD,16,CB,1,S,1996-02-03T02:47:00Z,30.416666,-123.996666,90,120,5,419.8,1,Ceratoscopelus townsendi,Dogtooth lampfish,162577,226,8,40,NaN
199602,DAVID STARR JORDAN,JD,16,CB,1,S,1996-02-03T02:47:00Z,30.416666,-123.996666,90,120,5,419.8,1,Cyclothone signata,Showy bristlemouth,162168,78,2,10,NaN
199602,DAVID STARR JORDAN,JD,16,CB,1,S,1996-02-03T02:47:00Z,30.416666,-123.996666,90,120,5,419.8,1,Danaphos oculatus,Bottlelight,162232,84,1,5,NaN
199602,DAVID STARR JORDAN,JD,16,CB,1,S,1996-02-03T02:47:00Z,30.416666,-123.996666,90,120,5,419.8,1,Hygophum reinhardtii,Slender lanternfish,623875,252,1,5,NaN
199602,DAVID STARR JORDAN,JD,16,CB,1,S,1996-02-03T02:47:00Z,30.416666,-123.996666,90,120,5,419.8,1,Leuroglossus stilbius,California smoothtongue,162096,72,1,5,NaN
199602,DAVID STARR JORDAN,JD,16,CB,1,S,1996-02-03T02:47:00Z,30.416666,-123.996666,90,120,5,419.8,1,Melamphaes,,166093,398,1,5,NaN
199602,DAVID STARR JORDAN,JD,16,CB,1,S,1996-02-03T02:47:00Z,30.416666,-123.996666,90,120,5,419.8,1,Myctophidae,Lanternfishes,162575,215,2,10,NaN
199602,DAVID STARR JORDAN,JD,16,CB,1,S,1996-02-03T02:47:00Z,30.416666,-123.996666,90,120,5,419.8,1,Nannobrachium,,623699,261,2,10,NaN
199602,DAVID STARR JORDAN,JD,16,CB,1,S,1996-02-03T02:47:00Z,30.416666,-123.996666,90,120,5,419.8,1,Nannobrachium ritteri,Broadfin lampfish,623745,260,2,10,NaN
199602,DAVID STARR JORDAN,JD,16,CB,1,S,1996-02-03T02:47:00Z,30.416666,-123.996666,90,120,5,419.8,1,Protomyctophum crockeri,California flashlightfish,162685,288,1,5,NaN
